Ticker,Sector,Market_Cap,Enterprise_Value,EBITDA,Free_Cash_Flow,EV/EBITDA,FCF_Yield,Debt/EBITDA,Revenue_Growth,Gross_Margins,Insider_Ownership,Institutional_Ownership,Intrinsic_Value,Discount_to_Intrinsic
AAON,Industrials,11467639808,11531707392,251051008,-215134368.0,45.933722727773315,-0.018655898965078424,1.7659040827272838,0.543,0.26242,0.16849001,0.90803003,,
ABG,Consumer Cyclical,3595104000,8978335744,1033200000,487687488.0,8.689833279132792,0.05431825027549338,5.254742423538521,-0.009,0.17115,0.00811,1.0889701,8561963295.70193,-0.04863048741485346
ABM,Industrials,2319655680,3905117440,428600000,263262496.0,9.111333271115258,0.06741474489433025,4.056696294913673,0.061,0.13109,0.0163,1.01596,4842707431.384436,0.19360863828116848
ACA,Industrials,6378108928,7753057280,542700032,55275000.0,14.286082223779932,0.007129445585625804,2.9108160583266742,0.044,0.22707,0.01783,0.95119005,945893828.9734399,-7.196540713680563
ACCO,Industrials,361650560,1216837632,167800000,48462500.0,7.251714135876043,0.03982659536946339,5.832538927294398,0.083,0.32701,0.02686,0.8264,977674328.2246859,-0.24462471486757742
ACHC,Healthcare,2464716288,5241032704,587948992,-216916256.0,8.91409420768256,-0.04138807526128347,4.579677823480306,0.076,0.41809,0.01546,1.378,,
ACIW,Technology,4154908160,4842039808,377569984,261643248.0,12.82421806072381,0.05403574905925267,2.264449157060112,0.079,0.49036998,0.01219,1.05136,5191022879.789574,0.06722818987145752
ADTN,Technology,1237650944,1797399168,91278000,45972500.0,19.69148281075396,0.025577234494413653,2.6661954906987444,0.155,0.38566002,0.02228,1.02006,1242873855.3872957,-0.446163792253806
AEIS,Industrials,13105363968,12883018752,295000000,49237500.0,43.67125000677966,0.003821891510664472,2.3155933288135593,0.263,0.39004,0.01053,1.11294,2013136292.4001856,-5.399476677577587
AEO,Consumer Cyclical,2588457472,4071589376,550004992,97716128.0,7.402822583835748,0.02399950461016234,3.16744040025004,0.129,0.3651,0.07102,0.98815,2380615033.4413915,-0.7103098648058834
AGCO,Industrials,8496416256,10918992896,1053200000,695812480.0,10.367444830991264,0.06372496865117477,2.603399194834789,0.143,0.25327998,0.17403999,0.93636,17933062457.50376,0.3911250283171156
ALEX,Real Estate,1518725120,2011848192,114197000,111192248.0,17.617347145721865,0.055268706874678546,4.438041349597625,-0.176,0.48564997,0.010190001,0.88417,1952118866.2166095,-0.030597176645883038
ALG,Industrials,1849344768,1957609856,205816992,57927876.0,9.511410292110382,0.029591124003821936,1.4952993579849811,0.067,0.24528,0.01353,1.0405,1092896410.229229,-0.7912126324849051
ALGT,Industrials,1481989376,2325416448,342846016,-27643624.0,6.782684760729435,-0.011887601476189438,5.40706283721261,0.048,0.23235,0.1435,0.97317004,,
ALRM,Technology,2094655616,2205519104,159935008,89477752.0,13.790095936969598,0.04056992833919248,3.543495767980954,0.11,0.65826,0.05584,1.00213,2017909333.954442,-0.09297234860294948
AMWD,Consumer Cyclical,525306752,967595264,141203008,46248624.0,6.852511697201238,0.04779748901292679,3.425812345300746,-0.184,0.15328,0.01699,1.0362201,811952389.4054042,-0.19168965646935734
ANF,Consumer Cyclical,3248937728,3630104576,834398976,263745872.0,4.350562117660125,0.0726551719043369,1.399923788976462,0.054,0.61474,0.0231,1.06766,4709824323.273801,0.22924841207735053
APAM,Financial Services,2645208576,2751683328,416488992,289936736.0,6.606857277994997,0.1053670431658043,0.7427759723359026,0.093,0.45791,0.02236,0.95669,6097042678.082968,0.5486855721231093
APPN,Technology,1410980864,1463498880,25318000,88268624.0,57.804679674539855,0.06031342094364978,11.660162730073466,0.215,0.72470003,0.0664,0.98578,3013820685.780609,0.5144041293150328
ARCB,Industrials,2647163392,2855607296,255554000,110241376.0,11.174183522856227,0.03860522984179965,1.8003553065105613,0.033,0.077259995,0.014880001,1.08936,1799528701.6726055,-0.5868639901913221
